,n,p,d,seed,param,RMSE
0,250,10,1,0,coef,0.04831572607190555
1,250,10,1,0,sigma,0.16464209319169978
2,250,10,1,1,coef,0.08738441642989854
3,250,10,1,1,sigma,0.14933051908870812
4,250,10,1,2,coef,0.07916751283987276
5,250,10,1,2,sigma,0.11864522712757132
6,250,10,1,3,coef,0.05771945374739896
7,250,10,1,3,sigma,0.12680768590818725
8,250,10,1,4,coef,0.05398521459515693
9,250,10,1,4,sigma,0.13714776727978417
10,250,10,1,5,coef,0.07774676890617686
11,250,10,1,5,sigma,0.1636101141286317
12,250,10,1,6,coef,0.10832450385334823
13,250,10,1,6,sigma,0.14435617655143368
14,250,10,1,7,coef,0.07944544489769197
15,250,10,1,7,sigma,0.16834355854711613
16,250,10,1,8,coef,0.12386938188605345
17,250,10,1,8,sigma,0.21292896866429947
18,250,10,1,9,coef,0.08082372309307319
19,250,10,1,9,sigma,0.1404696538646552
20,250,10,1,10,coef,0.07583637902357943
21,250,10,1,10,sigma,0.175036135321716
22,250,10,1,11,coef,0.08870781538243332
23,250,10,1,11,sigma,0.16154622263498286
24,250,10,1,12,coef,0.0870334025227427
25,250,10,1,12,sigma,0.16784434304230061
26,250,10,1,13,coef,0.11525966835454472
27,250,10,1,13,sigma,0.15602272893383928
28,250,10,1,14,coef,0.07626028948326706
29,250,10,1,14,sigma,0.14656695374395218
30,250,10,1,15,coef,0.1368086387177125
31,250,10,1,15,sigma,0.1643129269961166
32,250,10,1,16,coef,0.10165718655776393
33,250,10,1,16,sigma,0.1664300672349224
34,250,10,1,17,coef,0.11229665192813315
35,250,10,1,17,sigma,0.15303219257554657
36,250,10,1,18,coef,0.0879472894699222
37,250,10,1,18,sigma,0.13279436200972203
38,250,10,1,19,coef,0.09091817818651199
39,250,10,1,19,sigma,0.15709286734011738
40,250,10,2,0,coef,0.13521387386855632
41,250,10,2,0,sigma,0.14812217165630476
42,250,10,2,1,coef,0.10157797765929419
43,250,10,2,1,sigma,0.14626545368149801
44,250,10,2,2,coef,0.08439774623939028
45,250,10,2,2,sigma,0.12467757459947929
46,250,10,2,3,coef,0.13034401005625326
47,250,10,2,3,sigma,0.15402074360434342
48,250,10,2,4,coef,0.14599777658218574
49,250,10,2,4,sigma,0.1460293202442761
50,250,10,2,5,coef,0.14737405297817388
51,250,10,2,5,sigma,0.16401039620995855
52,250,10,2,6,coef,0.10154233855048289
53,250,10,2,6,sigma,0.16482771140799599
54,250,10,2,7,coef,0.10653986779340585
55,250,10,2,7,sigma,0.15769016359814286
56,250,10,2,8,coef,0.13950671033179093
